USERNAME;JOB_ID;NODENAME;APPNAME;AVG.FREQ;TIME;CPI;TPI;GBS;GFLOPS_1_proces;DC-NODE-POWER;DRAM-POWER;PCK-POWER;DEF.FREQ;POLICY;POLICY_TH;TOTAL_INST;CORES
NA;59227;cmp2732.hpc.eu.lenovo.com;AVX DP ADD256;2625900;0.993890;0.472412;0.0;0.0;20.526078;325.991810;16.192825;230.185179;2401000;MONITORING_NO_EAR;0.0;5120000000;40
NA;59227;cmp2732.hpc.eu.lenovo.com;AVX DP MUL256;2643900;0.994240;0.472473;0.0;0.0;20.556714;279.610557;16.203270;230.645044;2401000;MONITORING_NO_EAR;0.0;5120000000;40
NA;59227;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD256;2634900;0.993269;0.470795;0.0;0.0;41.226153;280.890675;16.167478;237.607331;2401000;MONITORING_NO_EAR;0.0;5120000000;40
NA;59227;cmp2732.hpc.eu.lenovo.com;AVX-512F DP ADD512;2424600;1.176634;0.469902;0.0;0.0;34.814630;226.068599;16.200317;180.620560;2401000;MONITORING_NO_EAR;0.0;5120000000;40
NA;59227;cmp2732.hpc.eu.lenovo.com;AVX-512F DP MUL512;2334900;1.177356;0.470768;0.0;0.0;34.768182;190.256813;16.240772;179.577853;2401000;MONITORING_NO_EAR;0.0;5120000000;40
NA;59227;cmp2732.hpc.eu.lenovo.com;AVX-512F DP FMADD512;2418000;1.177503;0.471111;0.0;0.0;69.548963;189.383806;16.226317;188.935750;2401000;MONITORING_NO_EAR;0.0;5120000000;40
NA;59268;cmp2732.hpc.eu.lenovo.com;SSE2 DP ADD128;3040800;1.042664;0.469763;0.0;0.0;12.285562;102.621746;16.510062;264.478731;2401000;MONITORING_NO_EAR;0.0;6400000000;40
NA;59268;cmp2732.hpc.eu.lenovo.com;SSE2 DP MUL128;3059700;1.052811;0.476744;0.0;0.0;12.145554;298.249163;16.171249;264.069833;2401000;MONITORING_NO_EAR;0.0;6400000000;40
NA;59268;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD128;3065700;1.041945;0.470880;0.0;0.0;24.589909;299.439990;16.212440;269.589645;2401000;MONITORING_NO_EAR;0.0;6400000000;40
NA;59268;cmp2732.hpc.eu.lenovo.com;AVX DP ADD256;2622300;1.242109;0.471441;0.0;0.0;20.561406;519.278099;16.310054;232.331948;2401000;MONITORING_NO_EAR;0.0;6400000000;40
NA;59268;cmp2732.hpc.eu.lenovo.com;AVX DP MUL256;2636700;1.241970;0.471482;0.0;0.0;20.555071;224.643107;16.168736;230.895627;2401000;MONITORING_NO_EAR;0.0;6400000000;40
NA;59268;cmp2732.hpc.eu.lenovo.com;FMA DP FMADD256;2626500;1.241685;0.471616;0.0;0.0;41.143805;224.694669;16.183913;237.775727;2401000;MONITORING_NO_EAR;0.0;6400000000;40
NA;59268;cmp2732.hpc.eu.lenovo.com;AVX-512F DP ADD512;2430300;1.470759;0.471120;0.0;0.0;34.745287;348.799497;16.199781;180.487167;2401000;MONITORING_NO_EAR;0.0;6400000000;40
NA;59268;cmp2732.hpc.eu.lenovo.com;AVX-512F DP MUL512;2377500;1.470352;0.471217;0.0;0.0;34.774631;151.664363;16.211841;179.694296;2401000;MONITORING_NO_EAR;0.0;6400000000;40
NA;59268;cmp2732.hpc.eu.lenovo.com;AVX-512F DP FMADD512;2296800;1.470987;0.469563;0.0;0.0;69.523619;311.355573;16.210672;188.862201;2401000;MONITORING_NO_EAR;0.0;6400000000;40
